name	scientific	link	url	family	family-common	color	type	image	location																						
Cooper’s Paper Daisy	Psilostrophe cooperi	psilostrophe-cooperi	mojave-plants-shrubs/psilostrophe-cooperi.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/psilostrophe-cooperi-t.jpg																							
Schott’s Pygmy Cedar	Peucephyllum schottii	peucephyllum-schottii	mojave-plants-shrubs/peucephyllum-schottii.html	Asteraceae	Sunflower	yellow	Shrub	images/mojave-plants-thumbnails/peucephyllum-schottii-t.jpg																							
Cinchweed	Pectis papposa	pectis-papposa	mojave-plants-annuals/pectis-papposa.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/pectis-papposa-t.jpg																							
Redstem Stork's Bill	Erodium cicutarium	erodium-cicutarium	mojave-plants-weeds/erodium-cicutarium.html	Geraniaceae	Geranium	pink	Weed	images/mojave-plants-thumbnails/erodium-cicutarium-t.jpg																							
Skeletonweed	Eriogonum deflexum	eriogonum-deflexum	mojave-plants-annuals/eriogonum-deflexum.html	Polygonaceae	Buckwheat	pink	Annual	images/mojave-plants-thumbnails/eriogonum-deflexum-t.jpg																							
Green Mormon Tea	Ephedra viridis	ephedra-viridis	mojave-plants-shrubs/ephedra-viridis.html	Ephedraceae	Ephedra	yellow	Shrub	images/mojave-plants-thumbnails/ephedra-viridis-t.jpg																							
Silverleaf Sunray	Enceliopsis argophylla	enceliopsis-argophylla	mojave-plants-perennials/enceliopsis-argophylla.html	Asteraceae	Sunflower	yellow	Perennial	images/mojave-plants-thumbnails/enceliopsis-argophylla-t.jpg																							
Utah serviceberry	Amelanchier utahensis	amelanchier-utahensis	mojave-plants-shrubs/amelanchier-utahensis.html	 Rosaceae	Rose	white	Shrub	images/mojave-plants-thumbnails/amelanchier-utahensis-t.jpg																							
Buffalo Gourd	Cucurbita foetidissima	cucurbita-foetidissima	mojave-plants-perennials/cucurbita-foetidissima.html	 Cucurbitaceae	Cucumber	yellow	Perennial	images/mojave-plants-thumbnails/cucurbita-foetidissima-t.jpg																							
Coyote Melon	Cucurbita palmata	cucurbita-palmata	mojave-plants-perennials/cucurbita-palmata.html	 Cucurbitaceae	Cucumber	yellow	Perennial	images/mojave-plants-thumbnails/cucurbita-palmata-t.jpg																							
Bearded Cryptantha	Cryptantha barbigera	cryptantha-barbigera	mojave-plants-annuals/cryptantha-barbigera.html	 Boraginaceae	Forget-me-not	white	Annual	images/mojave-plants-thumbnails/cryptantha-barbigera-t.jpg																							
Bastard Toadflax	Comandra umbellata	comandra-umbellata	mojave-plants-shrubs/comandra-umbellata.html	 Santalaceae	Mistletoe	"white, yellow"	Shrub	images/mojave-plants-thumbnails/comandra-umbellata-t.jpg																							
