name	scientific	url	family	family-common	color	type	image	location											
Dorr's Sage	Salvia dorrii	mojave-plants-shrubs/salvia-dorrii.html	Lamiaceae	Sage	"blue, purple"	Shrub	images/mojave-plants-thumbnails/salvia-dorrii-t.jpg	oc											
Narrow Leaved Yerba Santa	Eriodictyon angustifolium	mojave-plants-shrubs/eriodictyon-angustifolium.html	Namaceae	Nama	white	Shrub	images/mojave-plants-thumbnails/eriodictyon-angustifolium-t.jpg	oc											
California Barrel Cactus	Ferocactus cylindraceus	mojave-plants-cactus/ferocactus-cylindraceus.html	Cactaceae	Cactus	"yellow, green"	Cactus	images/mojave-plants-thumbnails/ferocactus-cylindraceus-t.jpg	oc											
Velvet Lupine	Lupinus leucophyllus	mojave-plants-perennial /lupinus-leucophyllus.html	Fabaceae	Pea	purple	Perennial	images/mojave-plants-thumbnails/lupinus-leucophyllus-t.jpg	oc											
Virgin River Brittlebush 	Encelia virginensis	mojave-plants-shrubs/encelia-virginensis.html	Asteraceae	Sunflower 	yellow	Shrub	images/mojave-plants-thumbnails/encelia-virginensis-t.jpg	oc											
Spiny Menodora	Mendora spinescens 	mojave-plants-shrubs/menodora-spinescens.html	Oleaceae 	Olive	white	Shrub	images/mojave-plants-thumbnails/mendora-spinescens-t.jpg	oc											
Colorado Four O’clock	Mirabilis multiflora	mojave-plants-perennials/mirabilis-multiflora.html	Nyctaginaceae	Four O’clock	violet	Perennial	images/mojave-plants-thumbnails/mirabilis-multiflora-t.jpg	oc											
Canaigre Dock	Rumex hymenosepalus	mojave-plants-perennials/rumex-hymenosepalus.html	Buckwheat	Polygonaceae	"pink, green"	Perennial	images/mojave-plants-thumbnails/rumex-hymenosepalus-t.jpg	oc											
Nevada Jointfir	Ephedra nevadensis	mojave-plants-shrubs/ephedra-nevadensis.html	Ephedraceae	Ephedra	yellow	Shrub	images/mojave-plants-thumbnails/ephedra-nevadensis-t.jpg
Wallace's Woolly Daisy	Eriophyllum wallacei	mojave-plants-annuals/eriophyllum-wallacei.html	Asteraceae	Sunflower	yellow	Annual	images/mojave-plants-thumbnails/ephedra-nevadensis-t.jpg												
